Date,Event Description,Category
2001-09-11,9/11 Terrorist attacks affect global oil demand,Economic Shock
2003-03-20,Iraq War begins,Conflict
2005-08-29,Hurricane Katrina damages US oil production,Other
2008-09-15,"Lehman Brothers collapse, financial crisis",Economic Shock
2010-04-20,Deepwater Horizon oil spill in Gulf of Mexico,Other
2011-03-11,Japan earthquake and tsunami disrupt energy supply,Other
2014-11-27,OPEC decides not to cut production,OPEC
2016-11-30,OPEC and non-OPEC agreement to cut output,OPEC
2020-03-11,COVID-19 declared a global pandemic,Economic Shock
2020-04-20,WTI crude futures go negative for first time,Economic Shock
2022-02-24,Russia-Ukraine war begins,Conflict
2022-03-08,Sanctions on Russian oil exports announced,Economic Shock
2022-06-02,OPEC+ agrees on production cut,OPEC
